Date,BEDOK CANAL (mm),BEDOK RESERVOIR (mm),EAST COAST LAGOON (mm),GEYLANG RIVER (mm),JURONG LAKE (mm),KALLANG BASIN (mm),KALLANG RIVER (mm),KRANJI RESERVOIR (mm),LAKE LITTLE GUILIN (mm),LOWER PEIRCE RESERVOIR (mm),LOWER SELETAR RESERVOIR (mm),MACRITCHIE RESERVOIR (mm),MARINA BAY (mm),MURAI RESERVOIR (mm),PANDAN RESERVOIR (mm),PELTON CANAL (mm),POYAN RESERVOIR (mm),ROCHOR CANAL (mm),ROCHOR RIVER (mm),SARIMBUN RESERVOIR (mm),SIGLAP CANAL (mm),SINGAPORE RIVER (mm),SUNGEI API API (mm),SUNGEI BEDOK (mm),SUNGEI BERIH (mm),SUNGEI BULOH WETLAND RESERVE (mm),SUNGEI CHANGI (mm),SUNGEI HALUS (mm),SUNGEI JURONG (mm),SUNGEI KANGKAR (mm),SUNGEI KETAPANG (mm),SUNGEI KHATIB BONGSU (mm),SUNGEI LANCHAR (mm),SUNGEI LOYANG (mm),SUNGEI MANDAI (mm),SUNGEI MANDAI KECHIL (mm),SUNGEI PANDAN (mm),SUNGEI PANG SUA (mm),SUNGEI PENG SIANG (mm),SUNGEI PINANG (mm),SUNGEI PUNGGOL (mm),SUNGEI SELARANG (mm),SUNGEI SELETAR (mm),SUNGEI SEMBAWANG (mm),SUNGEI SERANGOON (mm),SUNGEI SIMPANG (mm),SUNGEI TAMPINES (mm),SUNGEI TENGAH (mm),SUNGEI THO PEK KONG (mm),SUNGEI ULU PANDAN (mm),SUNGEI WHAMPOA (mm),TAMPINES QUARRY PARK (mm),TENGEH RESERVOIR (mm),ULU PANDAN CANAL (mm),UPPER PEIRCE RESERVOIR (mm),UPPER SELETAR RESERVOIR (mm),YISHUN POND (mm)
28/1/2015,0,0,0,0,0.066632949,0,0,0,0.467840582,0.000912984,0,0.119512558,0,0,4.055047512,0,0.664514601,0,0,0,0,0,0,0,0.569000244,0,0,0,0.413912535,0.000863882,0,0,0.022420248,0,0,0,6.643740654,0,0.000618383,0,0,0,0,0,0,0,0,0.029364288,0.479027897,8.256514549,0,0,0.855833054,1.621961117,0.419969261,0.04621524,0
29/1/2015,0,0,0,0,0,0,0,0.048170302,0,0,0,0.001885414,0,0.02325058,0,0,0.01177809,0,0,0.020472327,0,0,0,0,0.070325069,0.286223024,0,0,0,0.248117298,0,0,0,0,0.000154383,0.001831055,0,0,0.028479325,0,0,0,0,0,0,0,0,0.045851979,0.067517959,0,0,0,0.005537033,0,0,0,0
30/1/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/1/2015,0,0.010244009,0,0.397067606,75.29829407,1.598102331,4.283896923,0.120944552,22.57189369,4.443463802,5.858963966,2.085632324,1.390159965,87.72496033,30.20192146,1.20795691,82.96738434,3.023830414,2.001191616,24.51999664,0.018409729,1.703985333,0,0,122.6002731,0.472693413,0,0.008047003,58.04859543,9.015473366,0,0.876847088,101.5052414,0,0,0,21.67323303,0.004541734,0.380351812,3.413078547,0.718231201,0,1.402721047,0.156942755,2.006748199,0.014695017,0,4.105689049,115.6388626,18.95210266,3.679547071,0.019888742,73.50592041,8.919480324,2.267421484,84.15916443,1.487133741
1/2/2015,0,0,0,0,0.326124787,0,0.000546104,0.063008629,0,0.89805603,0.011114626,7.230578423,0,0.015155792,0,0,0.140041769,0,0,0.000848814,0,0.021446591,0,0,0.189812154,0.155613109,0,0,0.005496652,0.192018166,0,0,3.008178711,0,0,0,0,0.035350125,0.061319452,0,0,0,0,0,0,0,0,0.086933196,0.247974947,0,7.93E-05,0,0.438941956,0.760610461,0.011516975,0.359372079,0
2/2/2015,0.144555658,1.77009213,0.596078992,5.95931673,0.000228446,1.9358356,0.0009862,0,0.000582886,0,0,0,1.931114554,0,0.557366848,0.390619904,3.87602973,0.040885925,0.79505986,0,4.995101929,0.364760637,0.025326936,0.035088789,0.394949526,0,0,0.000876979,0.022832381,0.000342736,0.022103146,0,0,0,0,0,1.049644828,0,0,0,0,0,0,0,0,0,0.037739001,0.003365132,0.628572762,0.80938077,0.004211426,1.643868566,18.53849792,0.007748252,0.017400764,0,0
3/2/2015,0.108544923,0.061678499,0.001336349,3.05E-05,0.035588726,0.166499212,0.789923429,0,1.22E-05,0.000104268,0,0.006223679,0.022774832,0.003307343,0,0.096496582,0.009360985,0.991603851,0.447650403,0.057787519,0.010322571,0.132245749,0.078703508,0.027247379,0,0,0.005477905,0.009633917,0,0,0.002891804,0,1.449208617,0.067432113,0,0,0,0,0,0.137138665,0.294731975,0.002857027,0,0,0.044771194,0,0.042910926,2.10E-05,0,0,1.12776792,0.016322544,2.67E-05,0.017857602,1.58E-05,1.058462977,0
4/2/2015,45.78715134,55.17267609,63.25802612,60.98723602,1.42587018,112.2056427,39.17198181,0.023889612,0.952386498,1.098220825,0.332205623,9.933799744,209.1034851,20.19602203,4.573399067,40.91660309,115.7068939,92.55654144,87.58716583,0.763255298,64.06547546,201.1062164,40.00201035,26.48167038,127.3041687,0.483719528,10.65854836,20.1633358,2.66054678,6.667228699,19.88654137,0.184708446,2.890764952,33.17054749,0,0,3.619210482,0,0.070959792,8.248344421,1.441375732,15.90299225,0.062172629,0,17.0527668,0.003867701,48.11177063,0.758298039,133.6318665,2.241513014,51.4106369,55.03401947,141.8470764,9.052082062,0.587214947,4.121082306,0.205160528
5/2/2015,0.596374512,2.774945259,8.565937042,2.823913574,2.239812374,3.355421782,0.120952405,0.000379774,1.913375854,0.073521934,0.000634018,1.285173416,5.118126392,0,3.807964802,1.479225159,0.009458189,1.070362091,1.918215513,0,1.939994812,2.275004148,4.624172211,1.158273816,0,0,0.470617682,0.547472477,2.043188572,0,4.742383003,0,21.17590332,1.118934035,0,0,5.049566269,0.003866757,0.045742638,0,0,0.597446978,0.091777451,0,0,0,2.197034359,0.175291151,0,4.404842854,0.371923834,3.855451345,0.180740356,1.650951147,1.954785109,15.5253706,0
6/2/2015,0.387866199,0.286842138,5.513507843,0.093346491,18.0484314,7.987072468,4.360418797,0,2.286892653,0.178768158,5.98E-05,0.931254387,13.87575817,0,1.318769217,1.340019226,0.014193499,13.36303711,8.082681656,0,0.424713135,16.59169197,0.000586468,5.103265285,0,0,0.353555292,0,9.361767769,0,9.683783531,0,9.858650208,0.002035288,0.027135512,2.14E-05,0.094877698,1.051301837,0.007684005,0.003808594,1.133219361,0.981076181,0,0,0.01704216,0,0.023623819,0,0,0.257687211,6.138257027,0.050990514,0.012363434,4.75201273,0.211527035,0.293523878,0
7/2/2015,0,0,0,0.607147217,12.78551006,5.244400978,0.33340615,0,1.98676753,0.039174397,0,0.493453979,4.527157784,0,15.64257431,0.397003174,0.505593181,1.663311005,3.630729437,0,0,2.038440466,0,0,0.000585219,0,0,0,19.90790749,0,0,0,2.443115234,0,0,0,11.644104,0,0,0,0,0,0,0,0,0,0,0.173193172,0.000671387,3.621074438,0.794192493,0,1.141233444,0.236565843,0.049806125,2.957307339,0
8/2/2015,0,0.007426494,0.001866391,0.562232137,1.464212418,0.125197187,0.010269968,0.001082809,2.850976467,1.392028809,0.137644246,3.016052246,0.007952009,0.000377655,8.15836525,0.197502136,0.728649557,0.063644409,0.133234441,0.409841835,0.093429565,0.006283714,0.001793903,0.015387285,0.360920638,0.000275985,0,0.004484478,1.867830992,0.149177745,0.632252634,0,7.737861633,0,0,0.000106812,11.8601656,0,0.095548928,0.093291014,0.111022949,0.007943289,3.61E-05,0,0.211223602,0,0,3.050176382,1.925083756,12.87161732,0.03201599,0.022875104,0.718263626,3.001959562,1.581775665,26.75079727,0
9/2/2015,4.65485239,1.606197834,6.224220753,0.62083602,6.259666443,0.401012719,2.39492321,0.025117097,3.619641066,0.000619253,0,0.077581406,0.528314471,1.029369354,1.10671556,0.051490784,17.54036713,1.246261597,0.255493164,0.225579545,1.41468811,1.47153151,2.65E-05,7.988043308,6.602368355,0.097247578,0.70122683,0,4.354174614,0.091696717,9.803883553,0,2.785568237,0.345243007,0,0.016830444,0.669233024,0.152300671,0.011705901,0.013156738,0.034183078,2.46903491,0,0,0.00520134,0,0.407322943,0.031854887,5.859061241,0.251047224,1.884082079,0.124529161,20.84683037,0.004725406,0.069080308,0.797104597,0
10/2/2015,0.150903314,1.276103258,0,0.923272014,1.594297528,0.483229429,0.612924695,0.000628436,0.113922119,0,0,0.000144005,0.239193872,0,2.634665966,2.510231018,0.152373701,0.494995117,0.717022419,0,0.855659485,0.360816598,0.666071355,0,0.001407399,0.001109248,0,0.212415189,2.531293631,0.001466409,0,0,1.074254394,0.036156289,0,0,3.015898228,0,0,0,0,0,0,0,0.004478455,0,0.27181524,0,8.72E-06,2.863689184,0.731314063,2.075696707,0.100151062,0.905565739,0.076492846,0.942118347,0
11/2/2015,0,0,0,0,13.60706043,0,0,0,2.22253418,0,0,0,0,0.004562378,2.851109028,0,4.242900848,0,0,0,0,0,0,0,5.438605785,0,0,0,9.775397301,0.106061883,0,0,11.02212238,0,0,0,0.316679448,0.004340677,0,0,0,0,0,0,0,0,0,0.181625143,10.33625793,0.034080103,0,0,4.688934326,0,2.87E-06,0.888796866,0
12/2/2015,0,0,0,0,0.001348005,0,0,0.015771937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000993778,0,0,0.001586914,0,0.000631893,0.001937866,0,0.002279843,0.01594945,0,0,0,0,0,0,0,0,0.0051142,0,0,0,0,0,0,0,0.001758394,0
13/2/2015,0.000531006,0,0.000228079,0.002176921,0.00534668,0.031421367,0.13534385,0,0.045385741,0.320796967,0.06601388,0.361225128,0.038952056,0,0.030492665,0.003184001,1.471042752,0.035251617,0.04511825,0,0,0.057189941,0,0.006097091,0.032614317,0,0,0,0.008782087,0,0.00579834,0,0.108579002,0,0,0,0.041570753,0,0,0,0,0,0.280911535,0,0,0,0,0,0.013534546,0.099712171,0.11712952,0,2.350175858,0.092474684,0.267672181,0.117800757,0
